facility_id,facility_name,building_id,building_name,block_id,block_name,space_id,space_name,space_type,timestamp,capacity,occupancy_count,available_capacity,utilization_percent,utilization_status,overcrowded
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 11:00:00,100,76,24,76.0,HIGH,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 11:00:00,20,2,18,10.0,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 12:00:00,120,55,65,45.83,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 12:00:00,30,17,13,56.67,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 12:00:00,80,64,16,80.0,HIGH,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 12:00:00,150,89,61,59.33,OPTIMAL,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 12:00:00,25,19,6,76.0,HIGH,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 12:00:00,180,148,32,82.22,HIGH,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 12:00:00,100,45,55,45.0,OPTIMAL,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 12:00:00,20,3,17,15.0,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 13:00:00,120,50,70,41.67,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 13:00:00,30,15,15,50.0,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 13:00:00,80,62,18,77.5,HIGH,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 13:00:00,150,73,77,48.67,OPTIMAL,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 13:00:00,25,8,17,32.0,LOW,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 13:00:00,180,170,10,94.44,HIGH,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 13:00:00,100,49,51,49.0,OPTIMAL,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 13:00:00,20,1,19,5.0,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 14:00:00,120,89,31,74.17,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 14:00:00,30,9,21,30.0,LOW,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 14:00:00,80,20,60,25.0,LOW,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 14:00:00,150,115,35,76.67,HIGH,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 14:00:00,25,9,16,36.0,LOW,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 14:00:00,180,166,14,92.22,HIGH,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 14:00:00,100,77,23,77.0,HIGH,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 14:00:00,20,4,16,20.0,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 15:00:00,120,90,30,75.0,HIGH,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 15:00:00,30,10,20,33.33,LOW,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 15:00:00,80,27,53,33.75,LOW,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 15:00:00,150,118,32,78.67,HIGH,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 15:00:00,25,10,15,40.0,OPTIMAL,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 15:00:00,180,5,175,2.78,UNDERUSED,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 15:00:00,100,88,12,88.0,HIGH,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 15:00:00,20,1,19,5.0,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 16:00:00,120,81,39,67.5,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 16:00:00,30,23,7,76.67,HIGH,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 16:00:00,80,34,46,42.5,OPTIMAL,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 16:00:00,150,125,25,83.33,HIGH,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 16:00:00,25,15,10,60.0,OPTIMAL,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 16:00:00,180,210,0,116.67,OVERCROWDED,1
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 16:00:00,100,68,32,68.0,OPTIMAL,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 16:00:00,20,7,13,35.0,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 17:00:00,120,76,44,63.33,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 17:00:00,30,17,13,56.67,OPTIMAL,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 17:00:00,80,4,76,5.0,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 17:00:00,150,99,51,66.0,OPTIMAL,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 17:00:00,25,9,16,36.0,LOW,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 17:00:00,180,86,94,47.78,OPTIMAL,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 17:00:00,100,63,37,63.0,OPTIMAL,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 17:00:00,20,23,0,115.0,OVERCROWDED,1
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 18:00:00,120,37,83,30.83,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 18:00:00,30,2,28,6.67,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 18:00:00,80,82,0,102.5,OVERCROWDED,1
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 18:00:00,150,56,94,37.33,LOW,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 18:00:00,25,1,24,4.0,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 18:00:00,180,17,163,9.44,UNDERUSED,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 18:00:00,100,18,82,18.0,LOW,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 18:00:00,20,6,14,30.0,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 19:00:00,120,44,76,36.67,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 19:00:00,30,1,29,3.33,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 19:00:00,80,1,79,1.25,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 19:00:00,150,56,94,37.33,LOW,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 19:00:00,25,2,23,8.0,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 19:00:00,180,25,155,13.89,UNDERUSED,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 19:00:00,100,39,61,39.0,LOW,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 19:00:00,20,6,14,30.0,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 20:00:00,120,40,80,33.33,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 20:00:00,30,3,27,10.0,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 20:00:00,80,6,74,7.5,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 20:00:00,150,33,117,22.0,LOW,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 20:00:00,25,0,25,0.0,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B2,Block B2,SP-006,Cafeteria B,Cafeteria,2026-01-01 20:00:00,180,24,156,13.33,UNDERUSED,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-007,Open Workspace C1,Workspace,2026-01-01 20:00:00,100,35,65,35.0,LOW,0
F001,Smart Campus,B003,Building C,BLK-C1,Block C1,SP-008,Server Operations Room,Restricted Area,2026-01-01 20:00:00,20,3,17,15.0,LOW,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-001,Open Workspace A1,Workspace,2026-01-01 21:00:00,120,4,116,3.33,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A1,Block A1,SP-002,Conference Room A,Meeting Room,2026-01-01 21:00:00,30,1,29,3.33,UNDERUSED,0
F001,Smart Campus,B001,Building A,BLK-A2,Block A2,SP-003,Training Hall A,Training Room,2026-01-01 21:00:00,80,6,74,7.5,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-004,Open Workspace B1,Workspace,2026-01-01 21:00:00,150,5,145,3.33,UNDERUSED,0
F001,Smart Campus,B002,Building B,BLK-B1,Block B1,SP-005,Meeting Room B,Meeting Room,2026-01-01 21:00:00,25,1,24,4.0,UNDERUSED,0
